Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Toyota Aygo 1.2 d;Fiat Grande Punto 1.2 e;Fiat Grande Punto 1.3 d;Renault Clio Campus.com e;Renault Clio Campus.com GPL;Renault Clio Campus.com dci;
71000;20048.653;15956.474;16204.378;17685.148;18349.187;17154.158;17818.521;19054.455;986.19;566.58;900.99;
72000;20108.296;16020.368;16290.496;17751.136;18450.584;17207.456;17900.472;19111.56;1000.08;574.56;913.68;
73000;20167.939;16084.262;16376.614;17817.124;18551.981;17260.754;17982.423;19168.665;1013.97;582.54;926.37;
74000;20227.582;16148.156;16462.732;17883.112;18653.378;17314.052;18064.374;19225.77;1027.86;590.52;939.06;
75000;20407.225;16322.05;16548.85;17949.1;18754.775;17367.35;18146.325;19282.875;1041.75;598.5;951.75;
76000;20466.868;16385.944;16634.968;18015.088;18856.172;17420.648;18228.276;19339.98;1055.64;606.48;964.44;
77000;20526.511;16449.838;16721.086;18081.076;18957.569;17473.946;18310.227;19397.085;1069.53;614.46;977.13;
78000;20586.154;16513.732;16807.204;18147.064;19058.966;17527.244;18392.178;19454.19;1083.42;622.44;989.82;
79000;20645.797;16577.626;16893.322;18213.052;19160.363;17580.542;18474.129;19511.295;1097.31;630.42;1002.51;
80000;20705.44;16641.52;17509.44;18629.04;19861.76;17863.84;18556.08;19568.4;1111.2;638.4;1015.2;
81000;20765.083;16705.414;17595.558;18695.028;19963.157;17917.138;18638.031;19625.505;1125.09;646.38;1027.89;
82000;20824.726;16769.308;17681.676;18761.016;20064.554;17970.436;18719.982;19682.61;1138.98;654.36;1040.58;
83000;20884.369;16833.202;17767.794;18827.004;20165.951;18023.734;18801.933;19739.715;1152.87;662.34;1053.27;
84000;20944.012;16897.096;17853.912;18892.992;20267.348;18077.032;18883.884;19796.82;1166.76;670.32;1065.96;
85000;21003.655;16960.99;17940.03;18958.98;20368.745;18130.33;18965.835;19853.925;1180.65;678.3;1078.65;
86000;21063.298;17024.884;18026.148;19024.968;20470.142;18183.628;19047.786;19911.03;1194.54;686.28;1091.34;
87000;21122.941;17088.778;18112.266;19090.956;20571.539;18236.926;19129.737;19968.135;1208.43;694.26;1104.03;
88000;21182.584;17152.672;18198.384;19156.944;20672.936;18290.224;19211.688;20025.24;1222.32;702.24;1116.72;
89000;21242.227;17216.566;18284.502;19222.932;20774.333;18343.522;19293.639;20082.345;1236.21;710.22;1129.41;
90000;21421.87;17940.46;18370.62;19288.92;20875.73;18996.82;19375.59;20139.45;1250.1;718.2;1142.1;
91000;21481.513;18004.354;18456.738;19354.908;20977.127;19050.118;19457.541;20196.555;1263.99;726.18;1154.79;
92000;21541.156;18068.248;18542.856;19420.896;21078.524;19103.416;19539.492;20253.66;1277.88;734.16;1167.48;
93000;21600.799;18132.142;18628.974;19486.884;21179.921;19156.714;19621.443;20310.765;1291.77;742.14;1180.17;
94000;22194.442;18576.036;19065.092;20002.872;21631.318;19590.012;19703.394;20367.87;1305.66;750.12;1192.86;
95000;22254.085;18639.93;19151.21;20068.86;21732.715;19643.31;19785.345;20424.975;1319.55;758.1;1205.55;
96000;22313.728;18703.824;19237.328;20134.848;21834.112;19696.608;19867.296;20482.08;1333.44;766.08;1218.24;
97000;22373.371;18767.718;19323.446;20200.836;21935.509;19749.906;19949.247;20539.185;1347.33;774.06;1230.93;
98000;22433.014;18831.612;19409.564;20266.824;22036.906;19803.204;20031.198;20596.29;1361.22;782.04;1243.62;
99000;22492.657;18895.506;19495.682;20332.812;22138.303;19856.502;20113.149;20653.395;1375.11;790.02;1256.31;
