Kilometres;Dacia Sandero 1.2;Dacia Logan 1.2;Fiat Panda 1.3 d;Dacia Logan 1.5 dci;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Skoda Fabia 1.4 TDI;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Renault Clio III essence 75 ch;Toyota Yaris;Toyota Aygo 1.1
56000;17300.552;14717.13232;15816.928;17210.336;18579.144;16694.768;17850.51624;18908.10472;14045.576;16842.448;13666.192;21802.496;14918.704;
57000;17412.169;14801.50254;15875.266;17285.342;18636.093;16766.996;17930.80403;18966.20659;14120.497;16921.956;13754.874;21863.612;14989.038;
58000;17523.786;14885.87276;15933.604;17360.348;18693.042;16839.224;18011.09182;19024.30846;14195.418;17001.464;13843.556;21924.728;15059.372;
59000;17635.403;14970.24298;15991.942;17435.354;18749.991;16911.452;18091.37961;19082.41033;14270.339;17080.972;13932.238;21985.844;15129.706;
60000;17847.02;15125.8132;16200.28;17590.36;19006.94;17333.68;18278.4674;19247.3122;14345.26;17160.48;14220.92;22786.96;15200.04;
61000;17958.637;15210.18342;16258.618;17665.366;19063.889;17405.908;18358.75519;19305.41407;14420.181;17239.988;14309.602;22848.076;15270.374;
62000;18070.254;15294.55364;16316.956;17740.372;19120.838;17478.136;18439.04298;19363.51594;14495.102;17319.496;14398.284;22909.192;15340.708;
63000;18181.871;15378.92386;16375.294;17815.378;19177.787;17550.364;18519.33077;19421.61781;14570.023;17399.004;14486.966;22970.308;15411.042;
64000;18293.488;15463.29408;16433.632;17890.384;19234.736;17622.592;18599.61856;19479.71968;14644.944;17478.512;14575.648;23031.424;15481.376;
65000;18405.105;15547.6643;16491.97;17965.39;19291.685;17694.82;18679.90635;19537.82155;14719.865;17558.02;14664.33;23092.54;15551.71;
66000;18516.722;15632.03452;16550.308;18040.396;19348.634;17767.048;18760.19414;19595.92342;14794.786;17637.528;14753.012;23153.656;15622.044;
67000;18628.339;15716.40474;16608.646;18115.402;19405.583;17839.276;18840.48193;19654.02529;14869.707;17717.036;14841.694;23214.772;15692.378;
68000;18739.956;15800.77496;16666.984;18190.408;19462.532;17911.504;18920.76972;19712.12716;14944.628;17796.544;14930.376;23275.888;15762.712;
69000;18851.573;15885.14518;16725.322;18265.414;19519.481;17983.732;19001.05751;19770.22903;15019.549;17876.052;15019.058;23337.004;15833.046;
70000;18963.19;15969.5154;16783.66;18340.42;19576.43;18055.96;19081.3453;19828.3309;15094.47;17955.56;15107.74;23398.12;15903.38;
71000;19074.807;16053.88562;16841.998;18415.426;19633.379;18128.188;19161.63309;19886.43277;15169.391;18035.068;15196.422;23459.236;15973.714;
72000;19186.424;16138.25584;16900.336;18490.432;19690.328;18200.416;19241.92088;19944.53464;15244.312;18114.576;15285.104;23520.352;16044.048;
73000;19298.041;16222.62606;16958.674;18565.438;19747.277;18272.644;19322.20867;20002.63651;15319.233;18194.084;15373.786;23581.468;16114.382;
74000;19409.658;16306.99628;17017.012;18640.444;19804.226;18344.872;19402.49646;20060.73838;15394.154;18273.592;15462.468;23642.584;16184.716;
75000;19521.275;16391.3665;17225.35;18715.45;19861.175;18417.1;19589.58425;20225.64025;15469.075;18353.1;15551.15;24023.7;16255.05;
76000;19632.892;16475.73672;17283.688;18790.456;19918.124;18489.328;19669.87204;20283.74212;15543.996;18432.608;15639.832;24084.816;16325.384;
77000;19744.509;16560.10694;17342.026;18865.462;19975.073;18561.556;19750.15983;20341.84399;15618.917;18512.116;15728.514;24145.932;16395.718;
78000;19856.126;16644.47716;17400.364;18940.468;20032.022;18633.784;19830.44762;20399.94586;15693.838;18591.624;15817.196;24207.048;16466.052;
79000;19967.743;16728.84738;17458.702;19015.474;20088.971;18706.012;19910.73541;20458.04773;15768.759;18671.132;15905.878;24268.164;16536.386;
80000;20679.36;17284.9176;17517.04;19620.48;20145.92;19128.24;19991.0232;20516.1496;15843.68;18750.64;15994.56;24329.28;16606.72;
81000;20790.977;17369.28782;17575.378;19695.486;20202.869;19200.468;20071.31099;20574.25147;15918.601;18830.148;16083.242;24390.396;16677.054;
82000;20902.594;17453.65804;17633.716;19770.492;20259.818;19272.696;20151.59878;20632.35334;15993.522;18909.656;16171.924;24451.512;16747.388;
83000;21014.211;17538.02826;17692.054;19845.498;20316.767;19344.924;20231.88657;20690.45521;16068.443;18989.164;16260.606;24512.628;16817.722;
84000;21125.828;17622.39848;17750.392;19920.504;20373.716;19417.152;20312.17436;20748.55708;16143.364;19068.672;16349.288;24573.744;16888.056;
85000;21237.445;17706.7687;17808.73;19995.51;20430.665;19489.38;20392.46215;20806.65895;16218.285;19148.18;16437.97;24634.86;16958.39;
86000;21349.062;17791.13892;17867.068;20070.516;20487.614;19561.608;20472.74994;20864.76082;16293.206;19227.688;16526.652;24695.976;17028.724;
87000;21460.679;17875.50914;17925.406;20145.522;20544.563;19633.836;20553.03773;20922.86269;16368.127;19307.196;16615.334;24757.092;17099.058;
88000;21572.296;17959.87936;17983.744;20220.528;20601.512;19706.064;20633.32552;20980.96456;16443.048;19386.704;16704.016;24818.208;17169.392;
89000;21683.913;18044.24958;18042.082;20295.534;20658.461;19778.292;20713.61331;21039.06643;16517.969;19466.212;16792.698;24879.324;17239.726;
90000;21795.53;18128.6198;18250.42;20370.54;21415.41;19850.52;21568.2011;21871.4683;16592.89;19545.72;17581.38;25680.44;17860.06;
91000;21907.147;18212.99002;18308.758;20445.546;21472.359;19922.748;21648.48889;21929.57017;16667.811;19625.228;17670.062;25741.556;17930.394;
92000;22018.764;18297.36024;18367.096;20520.552;21529.308;19994.976;21728.77668;21987.67204;16742.732;19704.736;17758.744;25802.672;18000.728;
93000;22130.381;18381.73046;18425.434;20595.558;21586.257;20067.204;21809.06447;22045.77391;16817.653;19784.244;17847.426;25863.788;18071.062;
94000;22591.998;18816.10068;18983.772;21020.564;22143.206;20589.432;22423.35226;22637.87578;17392.574;19863.752;18436.108;25924.904;18521.396;
95000;22703.615;18900.4709;19042.11;21095.57;22200.155;20661.66;22503.64005;22695.97765;17467.495;19943.26;18524.79;25986.02;18591.73;
96000;22815.232;18984.84112;19100.448;21170.576;22257.104;20733.888;22583.92784;22754.07952;17542.416;20022.768;18613.472;26047.136;18662.064;
97000;22926.849;19069.21134;19158.786;21245.582;22314.053;20806.116;22664.21563;22812.18139;17617.337;20102.276;18702.154;26108.252;18732.398;
98000;23038.466;19153.58156;19217.124;21320.588;22371.002;20878.344;22744.50342;22870.28326;17692.258;20181.784;18790.836;26169.368;18802.732;
99000;23150.083;19237.95178;19275.462;21395.594;22427.951;20950.572;22824.79121;22928.38513;17767.179;20261.292;18879.518;26230.484;18873.066;
100000;23361.7;19393.522;19333.8;21550.6;22484.9;21372.8;23025.229;23106.637;17842.1;20340.8;18968.2;26291.6;18943.4;
101000;23473.317;19477.89222;19392.138;21625.606;22541.849;21445.028;23105.51679;23164.73887;17917.021;20420.308;19056.882;26352.716;19013.734;
102000;23584.934;19562.26244;19450.476;21700.612;22598.798;21517.256;23185.80458;23222.84074;17991.942;20499.816;19145.564;26413.832;19084.068;
103000;23696.551;19646.63266;19508.814;21775.618;22655.747;21589.484;23266.09237;23280.94261;18066.863;20579.324;19234.246;26474.948;19154.402;
104000;23808.168;19731.00288;19567.152;21850.624;22712.696;21661.712;23346.38016;23339.04448;18141.784;20658.832;19322.928;26536.064;19224.736;
105000;23919.785;19815.3731;19775.49;21925.63;22769.645;21733.94;23533.46795;23503.94635;18216.705;20738.34;19411.61;26917.18;19295.07;
106000;24031.402;19899.74332;19833.828;22000.636;22826.594;21806.168;23613.75574;23562.04822;18291.626;20817.848;19500.292;26978.296;19365.404;
107000;24143.019;19984.11354;19892.166;22075.642;22883.543;21878.396;23694.04353;23620.15009;18366.547;20897.356;19588.974;27039.412;19435.738;
108000;24254.636;20068.48376;19950.504;22150.648;22940.492;21950.624;23774.33132;23678.25196;18441.468;20976.864;19677.656;27100.528;19506.072;
109000;24366.253;20152.85398;20008.842;22225.654;22997.441;22022.852;23854.61911;23736.35383;18516.389;21056.372;19766.338;27161.644;19576.406;
110000;24477.87;20237.2242;20067.18;22300.66;23054.39;22095.08;23934.9069;23794.4557;18591.31;21135.88;19855.02;27222.76;19646.74;
111000;24589.487;20321.59442;20125.518;22375.666;23111.339;22167.308;24015.19469;23852.55757;18666.231;21215.388;19943.702;27283.876;19717.074;
