Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Renault Clio III essence 75 ch;
158000;28281.894;24502.772;24952.264;26234.482;25561.756;
159000;28343.887;24573.106;25031.772;26288.561;25650.438;
160000;28405.88;24643.44;25111.28;26342.64;25739.12;
161000;28467.873;24713.774;25190.788;26396.719;25852.802;
162000;28529.866;24784.108;25270.296;26450.798;25941.484;
163000;28591.859;24854.442;25349.804;26504.877;26030.166;
164000;28653.852;24924.776;25429.312;26558.956;26118.848;
165000;28835.845;25105.11;25508.82;26613.035;26207.53;
166000;28897.838;25175.444;25588.328;26667.114;26296.212;
167000;28959.831;25245.778;25667.836;26721.193;26384.894;
168000;29021.824;25316.112;25747.344;26775.272;26498.576;
169000;29083.817;25386.446;25826.852;26829.351;26587.258;
170000;29145.81;25456.78;25906.36;26883.43;26675.94;
171000;29207.803;25527.114;25985.868;26937.509;26764.622;
172000;29269.796;25597.448;26065.376;26991.588;26853.304;
173000;29331.789;25667.782;26144.884;27045.667;26941.986;
174000;29393.782;25738.116;26224.392;27099.746;27030.668;
175000;29455.775;25808.45;26303.9;27153.825;27144.35;
176000;29517.768;25878.784;26383.408;27207.904;27233.032;
177000;29579.761;25949.118;26462.916;27261.983;27321.714;
178000;29641.754;26019.452;26542.424;27316.062;27410.396;
179000;29703.747;26089.786;26621.932;27370.141;27499.078;
180000;30635.74;26820.12;26701.44;28124.22;28287.76;
181000;30697.733;26890.454;26780.948;28178.299;28376.442;
182000;30759.726;26960.788;26860.456;28232.378;28490.124;
183000;30821.719;27031.122;26939.964;28286.457;28578.806;
184000;30883.712;27101.456;27019.472;28340.536;28667.488;
185000;30945.705;27171.79;27098.98;28394.615;28756.17;
186000;31007.698;27242.124;27178.488;28448.694;28844.852;
187000;31069.691;27312.458;27257.996;28502.773;28933.534;
188000;31665.684;27762.792;27337.504;29056.852;29522.216;
189000;31727.677;27833.126;27417.012;29110.931;29635.898;
190000;31789.67;27903.46;27496.52;29165.01;29724.58;
191000;31851.663;27973.794;27576.028;29219.089;29813.262;
